title,genres,runtime,vote_average,vote_count,year
Toy Story,"['Animation', 'Comedy', 'Family']",81.0,7.7,5415.0,1995
Jumanji,"['Adventure', 'Fantasy', 'Family']",104.0,6.9,2413.0,1995
Grumpier Old Men,"['Romance', 'Comedy']",101.0,6.5,92.0,1995
Waiting to Exhale,"['Comedy', 'Drama', 'Romance']",127.0,6.1,34.0,1995
Father of the Bride Part II,['Comedy'],106.0,5.7,173.0,1995
Heat,"['Action', 'Crime', 'Drama', 'Thriller']",170.0,7.7,1886.0,1995
Sabrina,"['Comedy', 'Romance']",127.0,6.2,141.0,1995
Tom and Huck,"['Action', 'Adventure', 'Drama', 'Family']",97.0,5.4,45.0,1995
Sudden Death,"['Action', 'Adventure', 'Thriller']",106.0,5.5,174.0,1995
GoldenEye,"['Adventure', 'Action', 'Thriller']",130.0,6.6,1194.0,1995
The American President,"['Comedy', 'Drama', 'Romance']",106.0,6.5,199.0,1995
Dracula: Dead and Loving It,"['Comedy', 'Horror']",88.0,5.7,210.0,1995
Balto,"['Family', 'Animation', 'Adventure']",78.0,7.1,423.0,1995
Nixon,"['History', 'Drama']",192.0,7.1,72.0,1995
Cutthroat Island,"['Action', 'Adventure']",119.0,5.7,137.0,1995
Casino,"['Drama', 'Crime']",178.0,7.8,1343.0,1995
Sense and Sensibility,"['Drama', 'Romance']",136.0,7.2,364.0,1995
Four Rooms,"['Crime', 'Comedy']",98.0,6.5,539.0,1995
Ace Ventura: When Nature Calls,"['Crime', 'Comedy', 'Adventure']",90.0,6.1,1128.0,1995
Money Train,"['Action', 'Comedy', 'Crime']",103.0,5.4,224.0,1995
Get Shorty,"['Comedy', 'Thriller', 'Crime']",105.0,6.4,305.0,1995
Copycat,"['Drama', 'Thriller']",124.0,6.5,199.0,1995
Assassins,"['Action', 'Adventure', 'Crime', 'Thriller']",132.0,6.0,394.0,1995
Powder,"['Drama', 'Fantasy', 'Science Fiction', 'Thriller']",111.0,6.3,143.0,1995
Leaving Las Vegas,"['Drama', 'Romance']",112.0,7.1,365.0,1995
Othello,['Drama'],123.0,7.0,33.0,1995
Now and Then,"['Comedy', 'Drama', 'Family']",100.0,6.6,91.0,1995
Persuasion,"['Drama', 'Romance']",104.0,7.4,36.0,1995
The City of Lost Children,"['Fantasy', 'Science Fiction', 'Adventure']",108.0,7.6,308.0,1995
Shanghai Triad,"['Drama', 'Crime']",108.0,6.5,17.0,1995
Dangerous Minds,"['Drama', 'Crime']",99.0,6.4,249.0,1995
Twelve Monkeys,"['Science Fiction', 'Thriller', 'Mystery']",129.0,7.4,2470.0,1995
Wings of Courage,"['Romance', 'Adventure']",50.0,6.8,4.0,1996
Babe,"['Fantasy', 'Drama', 'Comedy', 'Family']",89.0,6.0,756.0,1995
Carrington,"['History', 'Drama', 'Romance']",121.0,6.4,16.0,1995
Dead Man Walking,['Drama'],122.0,7.3,350.0,1995
Across the Sea of Time,"['Adventure', 'History', 'Drama', 'Family']",51.0,3.5,2.0,1995
It Takes Two,"['Comedy', 'Family', 'Romance']",101.0,6.1,149.0,1995
Clueless,"['Comedy', 'Drama', 'Romance']",97.0,6.9,828.0,1995
"Cry, the Beloved Country",['Drama'],106.0,6.7,13.0,1995
Richard III,"['Drama', 'War']",104.0,6.9,50.0,1995
Dead Presidents,"['Action', 'Crime', 'Drama', 'History']",119.0,6.6,80.0,1995
Restoration,"['Drama', 'Romance']",117.0,6.3,30.0,1995
Mortal Kombat,"['Action', 'Fantasy']",101.0,5.4,452.0,1995
To Die For,"['Fantasy', 'Drama', 'Comedy', 'Thriller']",106.0,6.7,177.0,1995
How To Make An American Quilt,"['Drama', 'Romance']",116.0,6.5,38.0,1995
Se7en,"['Crime', 'Mystery', 'Thriller']",127.0,8.1,5915.0,1995
Pocahontas,"['Adventure', 'Animation', 'Drama', 'Family']",81.0,6.7,1509.0,1995
When Night Is Falling,"['Drama', 'Romance']",96.0,5.9,10.0,1995
The Usual Suspects,"['Drama', 'Crime', 'Thriller']",106.0,8.1,3334.0,1995
Guardian Angel,"['Action', 'Thriller', 'Drama']",93.0,6.3,3.0,1994
Mighty Aphrodite,"['Comedy', 'Romance']",95.0,6.7,145.0,1995
Lamerica,"['Drama', 'Foreign']",116.0,7.7,11.0,1994
The Big Green,"['Action', 'Adventure', 'Comedy', 'Family']",100.0,5.2,41.0,1995
Georgia,['Drama'],115.0,6.1,15.0,1995
Kids of the Round Table,[],89.0,3.0,1.0,1997
Home for the Holidays,"['Comedy', 'Drama', 'Romance']",103.0,6.3,39.0,1995
The Postman,"['Comedy', 'Drama', 'Romance']",108.0,7.6,181.0,1994
The Confessional,"['Thriller', 'Drama', 'Mystery']",100.0,6.5,2.0,1995
The Indian in the Cupboard,"['Adventure', 'Family', 'Fantasy']",96.0,5.9,136.0,1995
Eye for an Eye,"['Drama', 'Thriller']",101.0,5.8,65.0,1996
Mr. Holland's Opus,"['Music', 'Drama', 'Family']",137.0,6.9,115.0,1995
Don't Be a Menace to South Central While Drinking Your Juice in the Hood,['Comedy'],89.0,6.2,192.0,1996
Two If by Sea,"['Comedy', 'Romance']",96.0,4.5,14.0,1996
Bio-Dome,['Comedy'],88.0,4.4,110.0,1996
Lawnmower Man 2: Beyond Cyberspace,"['Action', 'Science Fiction']",92.0,2.8,32.0,1996
Two Bits,"['Drama', 'Family']",85.0,5.4,11.0,1995
French Twist,"['Comedy', 'Romance']",95.0,6.0,43.0,1995
Friday,['Comedy'],91.0,7.0,513.0,1995
From Dusk Till Dawn,"['Horror', 'Action', 'Thriller', 'Crime']",108.0,6.9,1644.0,1996
Fair Game,"['Action', 'Thriller', 'Romance']",91.0,4.1,54.0,1995
Kicking and Screaming,"['Comedy', 'Drama', 'Romance']",96.0,7.0,36.0,1995
Les Miserables,"['Drama', 'History']",175.0,6.6,8.0,1995
Bed of Roses,"['Drama', 'Romance']",87.0,5.1,27.0,1996
Big Bully,"['Comedy', 'Family']",90.0,3.9,16.0,1996
Screamers,"['Horror', 'Science Fiction']",108.0,6.1,154.0,1995
Nico Icon,['Documentary'],70.0,7.3,3.0,1995
The Crossing Guard,"['Drama', 'Thriller']",111.0,6.1,74.0,1995
The Juror,"['Drama', 'Thriller']",118.0,5.5,91.0,1996
The White Balloon,"['Family', 'Drama']",85.0,7.5,20.0,1995
Things to Do in Denver When You're Dead,"['Drama', 'Crime']",116.0,6.7,87.0,1995
Antonia's Line,"['Drama', 'Comedy']",102.0,7.2,26.0,1995
Once Upon a Time... When We Were Colored,"['Romance', 'Drama']",115.0,4.5,2.0,1996
Last Summer in the Hamptons,[],108.0,0.0,0.0,1995
Angels and Insects,"['Drama', 'Romance']",118.0,6.3,17.0,1995
White Squall,"['Action', 'Drama']",129.0,6.3,86.0,1996
Dunston Checks In,"['Adventure', 'Comedy', 'Family']",88.0,5.1,59.0,1996
Black Sheep,['Comedy'],87.0,6.0,124.0,1996
Nick of Time,"['Crime', 'Drama', 'Thriller']",90.0,6.1,190.0,1995
The Journey of August King,['Drama'],91.0,6.7,3.0,1995
Mary Reilly,"['Drama', 'Horror', 'Thriller', 'Romance']",104.0,5.7,77.0,1996
Vampire in Brooklyn,"['Comedy', 'Horror', 'Romance']",100.0,4.5,113.0,1995
Beautiful Girls,"['Comedy', 'Drama', 'Romance']",112.0,6.6,103.0,1996
Broken Arrow,"['Action', 'Adventure', 'Drama', 'Thriller']",108.0,5.7,459.0,1996
A Midwinter's Tale,['Comedy'],99.0,7.5,6.0,1995
La Haine,['Drama'],98.0,7.9,695.0,1995
Shopping,"['Action', 'Adventure', 'Drama', 'Science Fiction', 'Thriller']",105.0,5.6,13.0,1994
Heidi Fleiss: Hollywood Madam,['Documentary'],106.0,6.8,4.0,1995
City Hall,"['Drama', 'Thriller']",111.0,6.0,67.0,1996
Bottle Rocket,"['Comedy', 'Crime', 'Drama']",91.0,6.8,285.0,1996
Mr. Wrong,"['Comedy', 'Romance']",96.0,3.3,16.0,1996
Unforgettable,"['Drama', 'Mystery', 'Science Fiction', 'Thriller']",106.0,5.3,22.0,1996
Happy Gilmore,['Comedy'],92.0,6.5,767.0,1996
The Bridges of Madison County,"['Drama', 'Romance']",135.0,7.3,397.0,1995
Nobody Loves Me,"['Drama', 'Comedy', 'Family']",104.0,5.1,5.0,1994
Muppet Treasure Island,"['Action', 'Comedy', 'Music', 'Family', 'Adventure']",100.0,6.5,93.0,1996
Catwalk,['Documentary'],95.0,7.0,2.0,1995
Headless Body in Topless Bar,['Crime'],110.0,0.0,0.0,1995
Braveheart,"['Action', 'Drama', 'History', 'War']",177.0,7.7,3404.0,1995
Taxi Driver,"['Crime', 'Drama']",114.0,8.1,2632.0,1976
Rumble in the Bronx,"['Crime', 'Action', 'Comedy', 'Thriller']",91.0,6.5,245.0,1995
Before and After,"['Drama', 'Thriller']",108.0,5.8,37.0,1996
Margaret's Museum,['Drama'],114.0,7.5,2.0,1995
Happiness Is in the Field,['Comedy'],106.0,7.0,23.0,1995
Anne Frank Remembered,"['Documentary', 'Drama', 'Foreign']",117.0,7.3,4.0,1995
The Young Poisoner's Handbook,"['Comedy', 'Crime', 'Drama']",99.0,6.9,19.0,1995
If Lucy Fell,"['Comedy', 'Romance']",92.0,5.4,11.0,1996
Steal Big Steal Little,"['Comedy', 'Drama']",113.0,5.1,7.0,1995
Race the Sun,"['Action', 'Adventure', 'Comedy', 'Drama', 'Family']",100.0,5.2,21.0,1996
The Boys of St. Vincent,['Drama'],90.0,7.0,7.0,1992
Boomerang,"['Comedy', 'Romance']",117.0,5.4,139.0,1992
Chungking Express,"['Drama', 'Comedy', 'Romance']",102.0,7.9,249.0,1994
The Star Maker,"['Drama', 'Romance']",113.0,6.8,29.0,1995
Flirting with Disaster,"['Comedy', 'Romance']",92.0,6.3,66.0,1996
The Neverending Story III: Escape from Fantasia,['Fantasy'],95.0,4.4,105.0,1994
The Silences of the Palace,['Drama'],116.0,4.3,3.0,1994
Jupiter's Wife,[],87.0,0.0,0.0,1995
Pie in the Sky,"['Comedy', 'Romance']",95.0,7.0,2.0,1996
Angela,"['Comedy', 'Drama']",99.0,5.6,9.0,1995
Frankie Starlight,"['Drama', 'Romance', 'War']",101.0,5.4,4.0,1995
Jade,"['Action', 'Thriller', 'Mystery', 'Romance']",95.0,5.1,45.0,1995
Nueba Yol,"['Comedy', 'Drama', 'Romance']",102.0,5.5,1.0,1995
Sonic Outlaws,"['Music', 'Documentary']",87.0,0.0,0.0,1995
Down Periscope,['Comedy'],92.0,5.6,110.0,1996
From the Journals of Jean Seberg,['Documentary'],97.0,6.5,2.0,1995
Man of the Year,['Comedy'],86.0,3.8,2.0,1995
The Neon Bible,['Drama'],91.0,7.2,5.0,1995
Target,[],122.0,0.0,0.0,1995
Up Close & Personal,"['Drama', 'Romance']",119.0,5.9,51.0,1996
The Birdcage,['Comedy'],117.0,6.7,303.0,1996
Virgin Mary,['Drama'],125.0,7.0,2.0,1995
The Brothers McMullen,"['Comedy', 'Drama', 'Romance']",98.0,6.3,23.0,1995
Bad Boys,"['Action', 'Comedy', 'Crime', 'Thriller']",118.0,6.5,1729.0,1995
The Amazing Panda Adventure,"['Action', 'Adventure', 'Drama', 'Family']",81.0,5.0,31.0,1995
The Basketball Diaries,"['Drama', 'Crime']",102.0,7.2,472.0,1995
An Awfully Big Adventure,"['Romance', 'Drama', 'Comedy']",113.0,6.0,11.0,1995
Amateur,"['Crime', 'Comedy', 'Drama', 'Thriller']",105.0,6.5,21.0,1994
Apollo 13,['Drama'],140.0,7.3,1637.0,1995
Rob Roy,['Adventure'],139.0,6.5,151.0,1995
The Addiction,"['Drama', 'Horror']",82.0,6.4,46.0,1995
Batman Forever,"['Action', 'Crime', 'Fantasy']",121.0,5.2,1529.0,1995
Belle de Jour,"['Drama', 'Romance']",101.0,7.3,163.0,1967
Beyond Rangoon,"['Drama', 'Thriller']",100.0,6.4,21.0,1995
Blue in the Face,['Comedy'],83.0,6.8,28.0,1995
Canadian Bacon,"['Action', 'Comedy']",91.0,5.9,57.0,1995
Casper,"['Fantasy', 'Comedy', 'Family']",100.0,6.0,1045.0,1995
Clockers,"['Mystery', 'Crime', 'Drama']",128.0,6.8,69.0,1995
Congo,"['Action', 'Adventure', 'Drama', 'Mystery', 'Science Fiction', 'Thriller']",109.0,5.0,214.0,1995
Crimson Tide,"['Action', 'Thriller', 'Drama']",116.0,7.0,508.0,1995
Crumb,['Documentary'],119.0,7.6,71.0,1994
Desperado,"['Thriller', 'Action', 'Crime']",104.0,6.8,898.0,1995
Devil in a Blue Dress,"['Drama', 'Mystery', 'Thriller']",102.0,6.3,88.0,1995
Die Hard: With a Vengeance,"['Action', 'Thriller']",128.0,6.9,2094.0,1995
The Doom Generation,"['Action', 'Comedy', 'Crime', 'Drama']",80.0,5.6,57.0,1995
Feast of July,"['Drama', 'Crime']",116.0,0.0,0.0,1995
First Knight,"['Action', 'Adventure', 'Drama', 'Romance']",134.0,5.9,319.0,1995
Free Willy 2 - The Adventure Home,['Adventure'],95.0,5.5,130.0,1995
Hackers,"['Action', 'Crime', 'Thriller', 'Drama']",107.0,6.2,406.0,1995
Jeffrey,"['Comedy', 'Drama', 'Romance']",92.0,6.5,19.0,1995
Johnny Mnemonic,"['Adventure', 'Action', 'Drama', 'Science Fiction', 'Thriller']",97.0,5.5,380.0,1995
Judge Dredd,['Science Fiction'],96.0,5.4,643.0,1995
Jury Duty,"['Comedy', 'Drama']",88.0,4.0,34.0,1995
Kids,"['Drama', 'Crime']",91.0,6.8,280.0,1995
Living in Oblivion,"['Drama', 'Comedy']",89.0,7.2,64.0,1995
Lord of Illusions,"['Mystery', 'Horror', 'Thriller']",119.0,5.9,87.0,1995
